,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAD,FRI_MAD
67,Piano=Con,0.0003326527272685053,,,,,,,
13,Anno di costruzione=1965.0,0.0003587871688808603,,,,,,,
70,Tipo proprietà=Classe immobile media,0.00036595660716597344,,,,,,,
48,Zona=san-salvario,0.00040369267451241986,,,,,,,
88,"Climatizzatore=
                e              ",0.0004316090711147229,,,,,,,
72,Tipo proprietà=Nuda proprietà,0.00043204156355090487,,,,,,,
12,Anno di costruzione=1962.0,0.0004357253608835113,,,,,,,
92,"Classe energetica=245,00 kWh/m²a",0.0004973889152469817,,,,,,,
9,Anno di costruzione=1956.0,0.0005507507686068722,,,,,,,
45,Zona=le-vallette,0.000574725642199609,,,,,,,
46,Zona=colle-della-maddalena,0.0005773102398176387,,,,,,,
47,Zona=vanchiglia,0.0005855824509152567,,,,,,,
68,Piano=4°,0.0005985700940365156,,,,,,,
6,Anno di costruzione=1950.0,0.0006257852469293004,,,,,,,
53,Zona=superga,0.0006323768848220693,,,,,,,
20,Anno di costruzione=1988.0,0.000644713001402978,,,,,,,
74,Stato=0,0.0006682271930566258,,,,,,,
3,Anno di costruzione=1800.0,0.0006712845809969584,,,,,,,
7,Anno di costruzione=1955.0,0.0007251208720490584,,,,,,,
56,Zona=aurora,0.0007377678634504615,,,,,,,
21,Anno di costruzione=1880.0,0.0007480377156855934,,,,,,,
84,Climatizzatore=None,0.0007611314778371164,,,,,,,
89,Climatizzatore=centralizzato,0.0007710624144714285,,,,,,,
42,Zona=mirafiori-nord,0.0008047204547095115,,,,,,,
16,Anno di costruzione=1850.0,0.0008388024179956012,,,,,,,
44,Zona=barriera-di-lanzo,0.0008579267431341182,,,,,,,
34,Zona=madonna-del-pilone,0.000873821325491823,,,,,,,
18,Anno di costruzione=1852.0,0.0008901761325508834,,,,,,,
76,Stato=autonomo,0.000896139752512946,,,,,,,
99,Classe energetica=               D              ,0.0009092809870382478,,,,,,,
10,Anno di costruzione=1958.0,0.0009262569329285596,,,,,,,
79,Riscaldamento=0,0.00102758473466781,,,,,,,
95,Classe energetica=               A              ,0.001037656866970063,,,,,,,
32,"Contratto=               Affitto, transitorio            ",0.00110949187815147,,,,,,,
59,Piano=0,0.0011107531287323485,,,,,,,
28,Anno di costruzione=1900.0,0.0011119329095926674,,,,,,,
19,Anno di costruzione=1853.0,0.0012118430407589364,,,,,,,
25,Anno di costruzione=2016.0,0.0012754184274407895,,,,,,,
82,"Riscaldamento=
                a+              ",0.0014886819813267936,,,,,,,
73,Tipo proprietà=Classe immobile signorile,0.0015063024424658512,,,,,,,
5,Anno di costruzione=1945.0,0.001528736830379244,,,,,,,
33,"Contratto=               Affitto, concordato            ",0.0016455512015562347,,,,,,,
2,Anno di costruzione=0.0,0.0016932720661681437,,,,,,,
14,Anno di costruzione=1968.0,0.0017731175814282496,,,,,,,
87,Climatizzatore=predisposizione impianto,0.0018445958948932583,,,,,,,
66,Piano=6°,0.0019064433656563982,,,,,,,
93,Classe energetica=               E              ,0.0019435346202129455,,,,,,,
27,Anno di costruzione=2019.0,0.00195337431811997,,,,,,,
64,Piano=3°,0.0019556250786155467,,,,,,,
63,Piano=5°,0.002024377410172235,,,,,,,
75,Stato=nuovo/incostruzione,0.00210366929938021,,,,,,,
91,Classe energetica=               G              ,0.0022121621989702684,,,,,,,
58,Zona=santa-rita,0.0024221941473926475,,,,,,,
98,Classe energetica=               C              ,0.002529860819033952,,,,,,,
23,Anno di costruzione=2011.0,0.002536267394685178,,,,,,,
54,Zona=nizza-millefonti,0.0026378450839757727,,,,,,,
15,Anno di costruzione=1970.0,0.0026950823938250994,,,,,,,
52,Zona=vanchiglietta,0.0027327729142657135,,,,,,,
11,Anno di costruzione=1960.0,0.0028615840178090415,,,,,,,
77,Stato=ottimo/ristrutturato,0.0029230701073095972,,,,,,,
37,Zona=cenisia,0.003080864422885615,,,,,,,
62,Piano=1°,0.003122858276792837,,,,,,,
51,Zona=parco-dora,0.0032914840165526476,,,,,,,
57,Zona=mirafiori-sud,0.003403649598432667,,,,,,,
85,Climatizzatore=autonomo,0.0034359016408268884,,,,,,,
40,Zona=lingotto,0.0034661602091758084,,,,,,,
30,"Contratto=               Affitto, studenti (6-36 mesi)            ",0.0037885557644640154,,,,,,,
43,Zona=rebaudengo,0.004031330983838481,,,,,,,
