;riferimento e data annuncio;contratto;tipologia;superficie;locali;piano;totale piani edificio;disponibilità;tipo proprietà;altre caratteristiche;prezzo;spese condominio;informazioni catastali;anno di costruzione;stato;riscaldamento;classe energetica;immobile garantito;climatizzazione;spese aggiuntive;certificazione energetica;prestazione energetica del fabbricato;posti auto;indice prest. energetica rinnovabile;zona;links
0;fort19;Affitto;Appartamento;68 m²;3 (2 camere da letto, 1 altro), 1 bagno, cucina angolo cottura;1° stabile;5 piani;Libero;Intera proprietà, classe immobile media;Balcone;€ 380/mese;€ 30/mese;Classe A/2;1900;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;D 425,45 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80867815/
0;EK-80794921 - 10/06/2020;Affitto;Appartamento;90 m²;3 (2 camere da letto, 1 altro), 1 bagno, cucina abitabile;2° stabile, con ascensore;;;Nuda proprietà;Balcone;€ 750/mese;€ 80/mese;;;Ottimo / Ristrutturato;Centralizzato;A3 ;;;;;;;;aurora;https://www.immobiliare.it/annunci/80794921/
0;Premiercase;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;2° stabile, con ascensore;4 piani;Libero;Intera proprietà, classe immobile media;Balcone;€ 450/mese;€ 50/mese;Classe A/4, rendita € 232;1930;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a metano;C 184,04 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80839413/
0;ORI - CIRIE;Affitto;Appartamento;40 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina semi abitabile;3° stabile, con ascensore;4 piani;Libero;Intera proprietà, classe immobile signorile;Esposizione esterna;€ 260/mese;€ 100/mese;;1900;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;E 223,00 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80857179/
0;Premiercase;Affitto;Appartamento;50 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina angolo cottura;2° stabile;6 piani;;Intera proprietà;Fibra ottica;€ 400/mese;€ 50/mese;Classe A/3, rendita € 300;;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a metano;G 251,07 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80858079/
0;T1117;Affitto;Appartamento;24 m²;1 locale, 1 bagno, cucina angolo cottura;Piano terra;3 piani;Libero;Intera proprietà, classe immobile media;VideoCitofono;€ 320/mese;€ 80/mese;;2014;Nuovo / In costruzione;Centralizzato, a radiatori, alimentato a metano;C 170,67 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80856121/
0;A183 -(694512) - 08/06/2020;Affitto;Appartamento;52 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina cucinotto;Ultimo stabile, con ascensore;;Libero;Intera proprietà;Esposizione esterna;€ 450/mese;€ 70/mese;;;Ottimo / Ristrutturato;Centralizzato;D ;;;;;;;;aurora;https://www.immobiliare.it/annunci/80835421/
0;TORINO trilocale contratto studenti - 08/06/2020;Affitto;Appartamento;80 m²;3 (2 camere da letto, 1 altro), 1 bagno, cucina abitabile;3° stabile, con ascensore;8 piani;Libero;Intera proprietà, classe immobile media;Esposizione esterna;€ 530/mese;€ 70/mese;Classe A/3, rendita € 692;1957;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;E 237,75 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80828587/
0;EK-80828403 - 09/06/2020;Affitto;Appartamento;60 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;Piano rialzato;3 piani;Libero;Classe immobile media;Balcone;€ 400/mese;;Classe A/2;1900;Buono / Abitabile;Centralizzato, a radiatori, alimentato a metano;E 425,45 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80828403/
0;biella;Affitto;Appartamento;120 m²;4 (2 camere da letto, 2 altri), 1 bagno, cucina abitabile;Ultimo stabile;2 piani;Libero;Intera proprietà, classe immobile media;Balcone;€ 650/mese;;Classe A/2;1900;Buono / Abitabile;Autonomo, a radiatori, alimentato a metano;E 357,71 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80829815/
0;EK-80826259 - 08/06/2020;Affitto;Appartamento;35 m²;1 camera da letto, 1 bagno, cucina angolo cottura;6° stabile, con ascensore;6 piani;Libero;Intera proprietà, classe immobile signorile;Fibra ottica;€ 350/mese;;;;Ottimo / Ristrutturato;Autonomo, a radiatori, alimentato a gas;D ≥ 175 kWh/m²anno;;;;;;;;aurora;https://www.immobiliare.it/annunci/80826259/
0;corso Regio 15 - Dory - 10/06/2020;Affitto;Appartamento;60 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;1° stabile, con ascensore;4 piani;Libero;Intera proprietà, classe immobile media;Fibra ottica;€ 550/mese;€ 40/mese;Classe A/3;1980;Buono / Abitabile;Autonomo, a radiatori, alimentato a metano;G ≥ 175 kWh/m²anno;Dati certificabili, documentazione completa;;;;;;;aurora;https://www.immobiliare.it/annunci/80792163/
0;120489 - 08/06/2020;Affitto;Appartamento;60 m²;2 (1 camera da letto, 1 altro), 1 bagno, cucina abitabile;4° stabile;4 piani;Libero;Intera proprietà, classe immobile media;Porta blindata;€ 560/mese;€ 20/mese;Classe A/3;1950;Ottimo / Ristrutturato;Centralizzato, a radiatori, alimentato a teleriscaldamento;G ;;;;;;;;aurora;https://www.immobiliare.it/annunci/80787725/
