;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica
0;               Affitto, 4+4            ;centro;Intera proprietà;80;3;4°;Intera proprietà;850;120;75.0;1900.0;buono/abitabile;centralizzato;None;               G              
1;               Affitto            ;centro;Intera proprietà;180;5;2°;;1150;;;;ottimo/ristrutturato;;autonomo;
2;               Affitto, libero            ;centro;Intera proprietà;32;1;4°;Intera proprietà;440;;;;ottimo/ristrutturato;autonomo;None;               A+              
3;               Affitto, 4+4            ;centro;Intera proprietà;88;3;6°;Intera proprietà;1200;;;2006.0;ottimo/ristrutturato;autonomo;None;               D              
4;               Affitto, transitorio            ;centro;Intera proprietà;42;1;2°;Intera proprietà;750;40;29.0;1930.0;buono/abitabile;centralizzato;assente;               G              
5;               Affitto, libero            ;centro;Intera proprietà;32;1;4°;Intera proprietà;620;50;;1600.0;ottimo/ristrutturato;autonomo;autonomo;               G              
6;               Affitto, libero            ;centro;Intera proprietà;80;3;2°;Intera proprietà;750;;;;ottimo/ristrutturato;autonomo;None;               D              
7;               Affitto            ;centro;Intera proprietà;80;3;3°;Intera proprietà;750;;;1902.0;ottimo/ristrutturato;autonomo;assente;               D              
8;               Affitto, libero            ;centro;Intera proprietà;45;2;3°;Intera proprietà;400;;;;ottimo/ristrutturato;autonomo;autonomo;               D              
9;               Affitto            ;centro;Intera proprietà;32;1;4°;Intera proprietà;440;;;;buono/abitabile;autonomo;None;               Non classificabile              
10;               Affitto            ;centro;Intera proprietà;50;1;Con;Intera proprietà;550;;;;buono/abitabile;autonomo;None;               Non classificabile              
11;               Affitto, 4+4            ;centro;Intera proprietà;132;3;Su;Intera proprietà;1100;85;;1700.0;ottimo/ristrutturato;autonomo;assente;               B              
12;               Affitto            ;centro;Intera proprietà;50;2;Ultimo;Intera proprietà;350;20;;1900.0;buono/abitabile;autonomo;None;               F              
13;               Affitto, libero            ;centro;Intera proprietà;50;2;1°;Intera proprietà;1500;60;54.0;1940.0;ottimo/ristrutturato;centralizzato;autonomo;
14;               Affitto, 4+4            ;centro;Intera proprietà;50;2;2°;Intera proprietà;750;70;;1900.0;nuovo/incostruzione;centralizzato;autonomo;               C              
15;               Affitto            ;centro;Intera proprietà;50;2;1°;Intera proprietà;1500;100;5.0;1800.0;ottimo/ristrutturato;centralizzato;autonomo;               E              
16;               Affitto, 3+2            ;centro;Intera proprietà;203;5;3°;Intera proprietà;1400;233;;1930.0;;centralizzato;None;
17;               Affitto, 4+4            ;centro;Intera proprietà;120;3;1°;Intera proprietà;1200;100;;;ottimo/ristrutturato;centralizzato;autonomo;               D              
18;               Affitto, libero            ;centro;Intera proprietà;65;3;3°;Intera proprietà;750;;;1800.0;ottimo/ristrutturato;centralizzato;None;               G              
19;               Affitto, 4+4            ;centro;Intera proprietà;60;2;Ultimo;Intera proprietà;620;92;;1800.0;buono/abitabile;autonomo;assente;               G              
20;               Affitto, 4+4            ;centro;Intera proprietà;45;2;1°;;650;50;;;nuovo/incostruzione;autonomo;assente;
21;               Affitto            ;centro;Intera proprietà;30;1;4°;Intera proprietà;400;;;1907.0;ottimo/ristrutturato;autonomo;assente;               D              
22;               Affitto            ;centro;Intera proprietà;150;5;1°;Parziale proprietà;450;;;;ottimo/ristrutturato;centralizzato;None;               F              
