,Anno di costruzione,Aria Condizionata,Arredamento,Ascensore,Bagni,Balcone,Box,Cantina,Condizioni,Giardino,Locali,MQ Box,MQ Giardino,Metri quadri,Piano,Piscina,Portineria,Prezzo,Riscaldamento,Soffitta,Spese condominiali,Stato al rogito,Terrazzo,Distretto
0,2017,0,0,Sì,1,Sì,0,0,nuovo,0,1,0,0,39,3 di 3 piani,0,0,€ 550 al mese,centralizzato,0,€ 130/mese,libero,0,aurora
1,0,0,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,3,0,0,80,3,0,0,€ 530 al mese,centralizzato,0,0,0,0,aurora
2,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,1,0,0,35,1,0,0,€ 230 al mese,centralizzato cont. ind.,0,0,0,0,aurora
3,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,3,0,0,75,3,0,0,€ 500 al mese,centralizzato,0,0,0,0,aurora
4,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,2,0,0,42,3,0,0,€ 300 al mese,centralizzato,0,0,0,0,aurora
5,1970,assente,completamente arredato,Sì,1,Sì,0,Sì,abitabile,0,2,0,0,50,5,0,0,€ 500 al mese,centralizzato,0,€ 45/mese,0,0,aurora
6,1930,0,completamente arredato,0,1,Sì,0,Sì,ristrutturato,0,3,0,0,70,2,0,0,€ 550 al mese,autonomo,0,€ 80/mese,0,0,aurora
7,0,0,0,0,1,0,0,0,0,0,2,0,0,70,0,0,0,€ 450 al mese,0,0,0,0,0,aurora
8,0,0,0,Sì,1,Sì,0,Sì,ristrutturato,0,3,0,0,70,0,0,0,€ 450 al mese,autonomo,0,0,0,0,aurora
9,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,25,4,0,0,€ 290 al mese,autonomo,0,0,0,0,aurora
10,0,0,completamente arredato,Sì,1,0,0,0,nuovo,0,3,0,0,75,0,0,0,€ 350 al mese,autonomo,0,0,0,0,aurora
11,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,3,0,0,70,7,0,0,€ 390 al mese,autonomo,0,0,0,0,aurora
12,0,0,completamente arredato,0,1,0,0,Sì,ristrutturato,0,1,0,0,35,piano terra,0,0,€ 230 al mese,autonomo,0,0,0,0,aurora
13,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,35,3,0,0,€ 310 al mese,autonomo,0,0,0,0,aurora
14,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,1,0,0,35,1,0,0,€ 250 al mese,autonomo,0,0,0,0,aurora
15,0,0,completamente arredato,Sì,1,Sì,0,Sì,ristrutturato,0,1,0,0,25,1,0,0,€ 200 al mese,autonomo,0,0,0,0,aurora
16,1900,0,completamente arredato,0,1,0,0,0,ristrutturato,0,3,0,0,70,piano rialzato di 4 piani,0,0,€ 700 al mese,autonomo,0,€ 45/mese,0,0,aurora
17,0,0,parzialmente arredato,0,1,0,0,0,abitabile,0,1,0,0,30,4,0,0,€ 240 al mese,autonomo,0,€ 50/mese,0,0,aurora
18,0,assente,completamente arredato,Sì,1,Sì,0,0,nuovo,0,2,0,0,42,3,0,0,€ 305 al mese,centralizzato cont. ind.,0,0,0,0,aurora
19,0,0,completamente arredato,0,1,0,0,0,ristrutturato,0,1,0,0,35,3,0,0,€ 310 al mese,autonomo,0,0,0,0,aurora
20,2017,0,0,Sì,1,Sì,0,0,nuovo,0,1,0,0,39,3 di 3 piani,0,0,€ 550 al mese,centralizzato,0,€ 130/mese,libero,0,aurora
21,0,0,completamente arredato,Sì,1,Sì,0,0,ristrutturato,0,3,0,0,80,3,0,0,€ 530 al mese,centralizzato,0,0,0,0,aurora
22,0,0,completamente arredato,0,1,Sì,0,0,ristrutturato,0,1,0,0,35,1,0,0,€ 230 al mese,centralizzato cont. ind.,0,0,0,0,aurora
