;contratto;zona;tipologia;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
0;Affitto;aurora;Parziale proprietà, classe immobile media;68;3;1°;Intera proprietà;380;30;;1900.0;buono/abitabile;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/80867815/
1;Affitto;aurora;Parziale proprietà, classe immobile media;90;3;2°;Nuda proprietà;750;80;;;ottimo/ristrutturato;centralizzato;;;;;None;A3;https://www.immobiliare.it/annunci/80794921/
2;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;450;50;;1930.0;ottimo/ristrutturato;autonomo;;;;;None;C ;https://www.immobiliare.it/annunci/80839413/
3;Affitto;aurora;Parziale proprietà, classe immobile media;40;2;3°;Intera proprietà;260;100;;1900.0;buono/abitabile;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80857179/
4;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;400;50;;;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/80858079/
5;Affitto;aurora;Parziale proprietà, classe immobile media;24;1;Piano;Intera proprietà;320;80;;2014.0;nuovo/incostruzione;centralizzato;;;;;None;C ;https://www.immobiliare.it/annunci/80856121/
6;Affitto;aurora;Parziale proprietà, classe immobile media;52;2;Ultimo;Intera proprietà;450;70;;;ottimo/ristrutturato;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/80835421/
7;Affitto;aurora;Parziale proprietà, classe immobile media;80;3;3°;Intera proprietà;530;70;;1957.0;buono/abitabile;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80828587/
8;Affitto;aurora;Parziale proprietà, classe immobile media;60;2;Piano;Classe immobile media;400;;;1900.0;buono/abitabile;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80828403/
9;Affitto;aurora;Parziale proprietà, classe immobile media;120;4;Ultimo;Intera proprietà;650;;;1900.0;buono/abitabile;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/80829815/
10;Affitto;aurora;Parziale proprietà, classe immobile media;35;1;6°;Intera proprietà;350;;;;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/80826259/
11;Affitto;aurora;Parziale proprietà, classe immobile media;60;2;1°;Intera proprietà;550;40;;1980.0;buono/abitabile;autonomo;;;;;None;G ;https://www.immobiliare.it/annunci/80792163/
12;Affitto;aurora;Parziale proprietà, classe immobile media;60;2;4°;Intera proprietà;560;20;;1950.0;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/80787725/
13;Affitto;aurora;Parziale proprietà, classe immobile media;35;1;;Intera proprietà;470;;;1960.0;ottimo/ristrutturato;autonomo;;;;;autonomo;E ;https://www.immobiliare.it/annunci/80786941/
14;Affitto;aurora;Parziale proprietà, classe immobile media;30;1;;Intera proprietà;450;;;1960.0;ottimo/ristrutturato;autonomo;;;;;autonomo;E ;https://www.immobiliare.it/annunci/80786947/
15;Affitto;aurora;Parziale proprietà, classe immobile media;130;5;3°;Intera proprietà;900;130;;1960.0;buono/abitabile;centralizzato;;;;;None;E ;https://www.immobiliare.it/annunci/80773887/
16;Affitto;aurora;Parziale proprietà, classe immobile media;45;2;1°;;600;40;;;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/80776221/
17;Affitto;aurora;Parziale proprietà, classe immobile media;60;2;2°;Intera proprietà;365;45;;;buono/abitabile;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/80763141/
18;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;550;55;;;buono/abitabile;autonomo;;;;;None;;https://www.immobiliare.it/annunci/80766817/
19;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;550;42;;1930.0;buono/abitabile;centralizzato;;;;;None;D ;https://www.immobiliare.it/annunci/80772597/
20;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;550;50;;1940.0;ottimo/ristrutturato;autonomo;;;;;autonomo;;https://www.immobiliare.it/annunci/80752921/
21;Affitto;aurora;Parziale proprietà, classe immobile media;92;4;5°;;1100;;;;ottimo/ristrutturato;autonomo;;;;;None;;https://www.immobiliare.it/annunci/80713211/
22;Affitto;aurora;Parziale proprietà, classe immobile media;70;2;Su;Intera proprietà;790;140;;2014.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;A ;https://www.immobiliare.it/annunci/80745245/
23;Affitto;aurora;Parziale proprietà, classe immobile media;40;2;2°;Intera proprietà;330;;;;ottimo/ristrutturato;autonomo;;;;;None;D ;https://www.immobiliare.it/annunci/80742479/
24;Affitto;aurora;Parziale proprietà, classe immobile media;55;2;Ultimo;Intera proprietà;350;50;;1900.0;buono/abitabile;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/80711183/
25;Affitto;aurora;Parziale proprietà, classe immobile media;45;2;1°;Intera proprietà;450;15;;1900.0;ottimo/ristrutturato;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/80711605/
26;Affitto;aurora;Parziale proprietà, classe immobile media;31;1;2°;Intera proprietà;330;;;;ottimo/ristrutturato;autonomo;;;;;autonomo;D ;https://www.immobiliare.it/annunci/80710989/
27;Affitto;aurora;Parziale proprietà, classe immobile media;40;3;4°;Intera proprietà;520;70;;1930.0;ottimo/ristrutturato;autonomo;;;;;None;F ;https://www.immobiliare.it/annunci/80695387/
28;Affitto;aurora;Parziale proprietà, classe immobile media;48;1;2°;Intera proprietà;580;55;;2008.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;D ;https://www.immobiliare.it/annunci/80696205/
29;Affitto;aurora;Parziale proprietà, classe immobile media;26;1;5°;Intera proprietà;380;;;1906.0;ottimo/ristrutturato;autonomo;;;;;autonomo;E ;https://www.immobiliare.it/annunci/80695869/
30;Affitto;aurora;Parziale proprietà, classe immobile media;35;1;4°;Intera proprietà;510;;;1930.0;ottimo/ristrutturato;autonomo;;;;;None;E ;https://www.immobiliare.it/annunci/80695675/
31;Affitto;aurora;Parziale proprietà, classe immobile media;30;1;Piano;Intera proprietà;300;30;;1940.0;ottimo/ristrutturato;centralizzato;;;;;None;G ;https://www.immobiliare.it/annunci/80694451/
32;Affitto;aurora;Parziale proprietà, classe immobile media;50;2;1°;Intera proprietà;400;50;;1930.0;;autonomo;;;;;None;G ;https://www.immobiliare.it/annunci/80696259/
33;Affitto;aurora;Parziale proprietà, classe immobile media;45;2;Piano;Intera proprietà;630;;;1930.0;ottimo/ristrutturato;centralizzato;;;;;autonomo;;https://www.immobiliare.it/annunci/80683457/
