;Unnamed: 0.1;contract;district;surface;locals;floor;property_type;price;spese condominio;other_expences;building_year;status;heating;air_conditioning;energy_certificate;parking_slots;heating_expences;heating_system;announce_link
0;0;Affitto, Libero;centro;61;2;5;Intera proprietà;480;90.0;0.0;2006.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84237648/
1;1;Affitto;centro;50;1;2;Intera proprietà;500;50.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84221326/
2;2;Affitto, Transitorio;centro;65;2;1;Classe immobile media;400;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84228534/
4;4;Affitto, Concordato;centro;30;1;1;Intera proprietà;350;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84227778/
5;5;Affitto, Concordato;centro;25;1;Piano;Intera proprietà;300;0.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84228174/
6;6;Affitto;centro;58;1;1;Intera proprietà;575;50.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84204548/
7;7;Affitto, 3+2;centro;55;2;Piano;Intera proprietà;480;0.0;0.0;2005.0;ottimo/ristrutturato;0.0;predisposizione impianto;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84207564/
8;8;Affitto;centro;103;4;3;Intera proprietà;690;125.0;0.0;1996.0;0;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84194120/
9;9;Affitto, 4+4;centro;41;2;4;Intera proprietà;450;80.0;0.0;2000.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84162352/
10;10;Affitto, 3+2;centro;76;3;8;Intera proprietà;480;83.0;0.0;0.0;0;0.0;None;0.0;0.0;0.0;centralizzato;https://www.immobiliare.it/annunci/84162350/
11;11;Affitto, 3+2;centro;45;2;Piano;Intera proprietà;450;80.0;0.0;1980.0;buono/abitabile;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84162346/
12;12;Affitto, Concordato;centro;35;1;2;Classe immobile signorile;400;0.0;0.0;2013.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84155878/
13;13;Affitto, 3+2;centro;115;4;1;Intera proprietà;540;60.0;0.0;0.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84098664/
14;14;Affitto;centro;110;3;2;0;850;55.0;0.0;0.0;ottimo/ristrutturato;0.0;autonomo;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84094264/
15;15;Affitto;centro;85;3;3;0;530;0.0;0.0;0.0;ottimo/ristrutturato;0.0;None;0.0;0.0;0.0;autonomo;https://www.immobiliare.it/annunci/84092670/
16;16;Affitto;centro;60;1;5;Intera proprietà;450;92.0;0.0;0.0;buono/abitabile;0.0;None;0.0;0.0;0.0;0;https://www.immobiliare.it/annunci/84090368/
