;Contratto;Zona;Tipologia;Superficie;Locali;Piano;Tipo proprietà;Prezzo;Spese condominio;Spese riscaldamento;Anno di costruzione;Stato;Riscaldamento;Climatizzatore;Classe energetica;Arredato S/N;Link annuncio;Price
0;               Affitto, 3+2            ;aurora;Parziale proprietà, classe immobile media;45;2;2°;Intera proprietà;320;45.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               E              ;Parzialmente arredato;https://www.immobiliare.it/annunci/79506581/;320
1;               Affitto            ;aurora;Parziale proprietà, classe immobile media;29;2;3°;Intera proprietà;500;50.0;0.0;0.0;autonomo;assente;None;0;Arredato;https://www.immobiliare.it/annunci/79485381/;500
2;               Affitto            ;aurora;Parziale proprietà, classe immobile media;66;2;4°;Intera proprietà;600;60.0;0.0;1940.0;ottimo/ristrutturato;autonomo;None;               G              ;Arredato;https://www.immobiliare.it/annunci/79466693/;600
3;               Affitto, transitorio            ;aurora;Parziale proprietà, classe immobile media;71;2;4°;Intera proprietà;600;60.0;0.0;1940.0;ottimo/ristrutturato;autonomo;None;               G              ;Arredato;https://www.immobiliare.it/annunci/79466917/;600
4;               Affitto            ;aurora;Parziale proprietà, classe immobile media;40;2;Piano;Intera proprietà;400;50.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;None;0;Arredato;https://www.immobiliare.it/annunci/79460003/;400
5;               Affitto            ;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;450;70.0;0.0;0.0;0;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79458671/;450
6;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;22;1;2°;Intera proprietà;350;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79465981/;350
7;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;84;4;2°;Intera proprietà;600;70.0;0.0;2003.0;buono/abitabile;autonomo;None;               D              ;0;https://www.immobiliare.it/annunci/79439553/;600
8;               Affitto            ;aurora;Parziale proprietà, classe immobile media;55;2;Con;Intera proprietà;370;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;None;               G              ;Arredato;https://www.immobiliare.it/annunci/79439783/;370
9;               Affitto, transitorio            ;aurora;Parziale proprietà, classe immobile media;50;2;3°;Intera proprietà;450;0.0;0.0;0.0;ottimo/ristrutturato;0;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79437457/;450
10;               Affitto            ;aurora;Parziale proprietà, classe immobile media;30;2;2°;Intera proprietà;330;0.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79441723/;330
11;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;30;2;3°;Intera proprietà;270;0.0;0.0;1980.0;ottimo/ristrutturato;autonomo;None;               B              ;Non arredato;https://www.immobiliare.it/annunci/79389421/;270
12;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;450;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;None;               A+              ;Arredato;https://www.immobiliare.it/annunci/79390201/;450
13;               Affitto, concordato            ;aurora;Parziale proprietà, classe immobile media;60;3;6°;Intera proprietà;400;0.0;0.0;0.0;ottimo/ristrutturato;0;None;               Non classificabile              ;0;https://www.immobiliare.it/annunci/79402523/;400
14;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;60;2;Ultimo;Intera proprietà;550;50.0;0.0;1965.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79367239/;550
15;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;35;1;3°;Intera proprietà;490;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;None;               A+              ;Arredato;https://www.immobiliare.it/annunci/79364653/;490
16;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;30;2;3°;Intera proprietà;270;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               A+              ;Non arredato;https://www.immobiliare.it/annunci/79377893/;270
17;               Affitto            ;aurora;Parziale proprietà, classe immobile media;40;2;1°;Intera proprietà;370;0.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79372051/;370
18;               Affitto            ;aurora;Parziale proprietà, classe immobile media;58;2;3°;Classe immobile media;400;60.0;66.0;1960.0;ottimo/ristrutturato;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79331069/;400
19;               Affitto            ;aurora;Parziale proprietà, classe immobile media;90;4;4°;Intera proprietà;600;115.0;68.0;1900.0;buono/abitabile;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79327721/;600
20;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;35;2;2°;Intera proprietà;330;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79331937/;330
21;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;30;2;2°;Intera proprietà;330;0.0;0.0;1980.0;ottimo/ristrutturato;autonomo;None;               B              ;Arredato;https://www.immobiliare.it/annunci/79334753/;330
22;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;47;2;4°;Intera proprietà;400;0.0;0.0;0.0;ottimo/ristrutturato;0;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/79334995/;400
23;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;73;3;4°;Classe immobile media;400;160.0;0.0;1940.0;buono/abitabile;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79316893/;400
24;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;65;2;2°;Intera proprietà;800;95.0;50.0;1900.0;ottimo/ristrutturato;centralizzato;None;               B              ;Arredato;https://www.immobiliare.it/annunci/79312047/;800
25;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;30;2;2°;Intera proprietà;330;30.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               A+              ;Arredato;https://www.immobiliare.it/annunci/79318233/;330
26;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;45;2;2°;Intera proprietà;330;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79316821/;330
27;               Affitto            ;aurora;Parziale proprietà, classe immobile media;58;2;3°;Classe immobile media;400;60.0;66.0;1960.0;ottimo/ristrutturato;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79290495/;400
28;               Affitto, concordato            ;aurora;Parziale proprietà, classe immobile media;60;2;3°;Intera proprietà;350;35.0;50.0;1900.0;buono/abitabile;centralizzato;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79266755/;350
29;               Affitto, concordato            ;aurora;Parziale proprietà, classe immobile media;60;2;3°;Intera proprietà;400;35.0;50.0;1900.0;buono/abitabile;centralizzato;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79242327/;400
30;               Affitto, concordato            ;aurora;Parziale proprietà, classe immobile media;35;2;3°;Intera proprietà;350;0.0;0.0;0.0;buono/abitabile;autonomo;None;0;Arredato;https://www.immobiliare.it/annunci/79239575/;350
31;               Affitto            ;aurora;Parziale proprietà, classe immobile media;27;1;0;0;350;25.0;0.0;0.0;0;autonomo;None;0;0;https://www.immobiliare.it/annunci/79223567/;350
32;               Affitto            ;aurora;Parziale proprietà, classe immobile media;35;2;1°;Intera proprietà;370;30.0;0.0;0.0;buono/abitabile;autonomo;None;0;Arredato;https://www.immobiliare.it/annunci/79219603/;370
33;               Affitto            ;aurora;Parziale proprietà, classe immobile media;70;3;3°;Intera proprietà;400;0.0;0.0;0.0;buono/abitabile;centralizzato;None;               Non classificabile              ;Non arredato;https://www.immobiliare.it/annunci/79209697/;400
34;               Affitto, transitorio            ;aurora;Parziale proprietà, classe immobile media;30;1;2°;Intera proprietà;330;15.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79196373/;330
35;               Affitto            ;aurora;Parziale proprietà, classe immobile media;40;2;1°;Intera proprietà;600;50.0;0.0;0.0;ottimo/ristrutturato;autonomo;None;0;Arredato;https://www.immobiliare.it/annunci/72191906/;600
36;               Affitto            ;aurora;Parziale proprietà, classe immobile media;31;1;3°;Intera proprietà;400;30.0;0.0;0.0;buono/abitabile;autonomo;None;               D              ;Arredato;https://www.immobiliare.it/annunci/79015327/;400
37;               Affitto, transitorio            ;aurora;Parziale proprietà, classe immobile media;70;3;3°;Intera proprietà;750;55.0;45.0;1940.0;ottimo/ristrutturato;autonomo;None;               F              ;Arredato;https://www.immobiliare.it/annunci/78997665/;750
38;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;45;2;2°;Intera proprietà;400;200.0;0.0;1920.0;ottimo/ristrutturato;autonomo;None;               E              ;Arredato;https://www.immobiliare.it/annunci/79001603/;400
40;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;40;2;2°;Intera proprietà;530;40.0;0.0;1970.0;ottimo/ristrutturato;autonomo;None;               C              ;Arredato;https://www.immobiliare.it/annunci/78998801/;530
41;               Affitto, libero            ;aurora;Parziale proprietà, classe immobile media;50;2;1°;Intera proprietà;580;60.0;0.0;1880.0;ottimo/ristrutturato;autonomo;None;               C              ;Arredato;https://www.immobiliare.it/annunci/78977931/;580
42;               Affitto, 3+2            ;aurora;Parziale proprietà, classe immobile media;80;3;3°;Intera proprietà;460;50.0;0.0;1957.0;buono/abitabile;centralizzato;None;               E              ;Arredato;https://www.immobiliare.it/annunci/78942325/;460
43;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;80;3;1°;Intera proprietà;400;50.0;66.0;1965.0;buono/abitabile;centralizzato;None;               G              ;0;https://www.immobiliare.it/annunci/78884741/;400
44;               Affitto            ;aurora;Parziale proprietà, classe immobile media;40;2;1°;Classe immobile media;370;0.0;0.0;0.0;buono/abitabile;centralizzato;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78861631/;370
45;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;45;2;2°;0;310;0.0;0.0;0.0;0;0;None;0;0;https://www.immobiliare.it/annunci/78816715/;310
46;               Affitto            ;aurora;Parziale proprietà, classe immobile media;44;2;4°;Intera proprietà;350;0.0;0.0;0.0;buono/abitabile;centralizzato;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78826009/;350
47;               Affitto, concordato            ;aurora;Parziale proprietà, classe immobile media;50;2;2°;Intera proprietà;450;0.0;0.0;0.0;0;0;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78846571/;450
48;               Affitto            ;aurora;Parziale proprietà, classe immobile media;70;3;3°;Intera proprietà;400;0.0;0.0;0.0;buono/abitabile;autonomo;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78742913/;400
49;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;50;3;Ultimo;Intera proprietà;400;100.0;0.0;0.0;buono/abitabile;centralizzato;None;               F              ;Non arredato;https://www.immobiliare.it/annunci/78696923/;400
50;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;60;2;4°;Intera proprietà;430;70.0;0.0;2002.0;ottimo/ristrutturato;autonomo;None;0;Non arredato;https://www.immobiliare.it/annunci/78673475/;430
51;               Affitto            ;aurora;Parziale proprietà, classe immobile media;75;2;4°;Classe immobile media;750;80.0;50.0;1954.0;ottimo/ristrutturato;centralizzato;None;0;Arredato;https://www.immobiliare.it/annunci/78686371/;750
52;               Affitto            ;aurora;Parziale proprietà, classe immobile media;45;2;2°;Intera proprietà;500;0.0;0.0;0.0;buono/abitabile;centralizzato;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78673529/;500
53;               Affitto, 4+4            ;aurora;Parziale proprietà, classe immobile media;45;2;3°;Intera proprietà;490;50.0;0.0;0.0;ottimo/ristrutturato;centralizzato;None;               G              ;Arredato;https://www.immobiliare.it/annunci/78668569/;490
54;               Affitto            ;aurora;Parziale proprietà, classe immobile media;43;2;2°;Intera proprietà;500;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;None;               Non classificabile              ;Arredato;https://www.immobiliare.it/annunci/78640985/;500
