;contratto;zona;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
0;Affitto;aurora;68;3.0;1°;Intera proprietà;380;30.0;0.0;1900.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/80867815/
1;Affitto;aurora;90;3.0;2°;Nuda proprietà;750;80.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;A3;https://www.immobiliare.it/annunci/80794921/
2;Affitto;aurora;50;2.0;2°;Intera proprietà;450;50.0;0.0;1930.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;C ;https://www.immobiliare.it/annunci/80839413/
3;Affitto;aurora;40;2.0;3°;Intera proprietà;260;100.0;0.0;1900.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;E ;https://www.immobiliare.it/annunci/80857179/
4;Affitto;aurora;50;2.0;2°;Intera proprietà;400;50.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/80858079/
5;Affitto;aurora;24;1.0;Piano;Intera proprietà;320;80.0;0.0;2014.0;nuovo/incostruzione;centralizzato;0.0;0.0;0.0;0.0;None;C ;https://www.immobiliare.it/annunci/80856121/
6;Affitto;aurora;52;2.0;Ultimo;Intera proprietà;450;70.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/80835421/
7;Affitto;aurora;80;3.0;3°;Intera proprietà;530;70.0;0.0;1957.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;E ;https://www.immobiliare.it/annunci/80828587/
8;Affitto;aurora;60;2.0;Piano;Classe immobile media;400;0.0;0.0;1900.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;E ;https://www.immobiliare.it/annunci/80828403/
9;Affitto;aurora;120;4.0;Ultimo;Intera proprietà;650;0.0;0.0;1900.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;E ;https://www.immobiliare.it/annunci/80829815/
10;Affitto;aurora;35;1.0;6°;Intera proprietà;350;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/80826259/
11;Affitto;aurora;60;2.0;1°;Intera proprietà;550;40.0;0.0;1980.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/80792163/
12;Affitto;aurora;60;2.0;4°;Intera proprietà;560;20.0;0.0;1950.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/80787725/
13;Affitto;aurora;35;1.0;0;Intera proprietà;470;0.0;0.0;1960.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;E ;https://www.immobiliare.it/annunci/80786941/
14;Affitto;aurora;30;1.0;0;Intera proprietà;450;0.0;0.0;1960.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;E ;https://www.immobiliare.it/annunci/80786947/
15;Affitto;aurora;130;5.0;3°;Intera proprietà;900;130.0;0.0;1960.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;E ;https://www.immobiliare.it/annunci/80773887/
16;Affitto;aurora;45;2.0;1°;0;600;40.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/80776221/
17;Affitto;aurora;60;2.0;2°;Intera proprietà;365;45.0;0.0;0.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;G ;https://www.immobiliare.it/annunci/80763141/
18;Affitto;aurora;50;2.0;2°;Intera proprietà;550;55.0;0.0;0.0;buono/abitabile;autonomo;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/80766817/
19;Affitto;aurora;50;2.0;2°;Intera proprietà;550;42.0;0.0;1930.0;buono/abitabile;centralizzato;0.0;0.0;0.0;0.0;None;D ;https://www.immobiliare.it/annunci/80772597/
