,Price,Rooms,Surface,Bathrooms,Floor,Zona
0,1200,4,100,2,5,centro
1,350,1,30,1,1,centro
2,470,1,26,1,T,centro
3,1600,5,150,2,2,centro
4,1300,5+,130,2,A,centro
5,700,3,60,1,4,centro
6,700,3,80,1,1,centro
7,380,2,42,1,2,centro
8,640,3,65,1,1,centro
9,1100,4,110,1,4,centro
10,400,2,40,1,1,centro
11,770,4,78,1,1,centro
12,750,2,85,1,2,centro
13,650,2,50,1,T,centro
14,1500,2,115,2,6,centro
15,600,2,75,1,,centro
16,500,1,30,1,1,centro
17,1800,5,180,2,1,centro
18,1475,2,110,1,2,centro
19,650,2,70,1,A,centro
20,450,2,45,1,2,centro
21,690,2,55,1,6,centro
22,1550,4,85,2,5,centro
23,540,1,35,1,5,centro
24,550,1,50,1,A,centro
25,650,4,105,1,5,centro
26,750,2,70,1,R,centro
27,800,3,90,1,4,centro
28,350,2,50,1,A,centro
29,300,1,20,1,2,centro
30,700,3,70,1,2,centro
31,900,1,50,1,T,centro
32,1400,5+,203,2,3,centro
33,550,2,50,1,1,centro
34,300,1,25,1,4,centro
35,480,2,60,1,A,centro
36,350,1,30,1,1,centro
37,270,1,20,1,3,centro
38,380,2,40,1,3,centro
39,500,2,60,1,4,centro
40,270,1,22,1,5,centro
41,400,1,30,1,4,centro
42,350,3,50,1,A,centro
43,270,1,22,1,4,centro
44,300,1,22,1,5,centro
45,800,3,70,1,2,centro
46,500,1,30,,1,centro
47,1700,5+,160,3+,1,centro
48,1250,5+,145,2,4,centro
49,750,3,85,1,,centro
50,700,3,50,1,2,centro
51,420,2,45,1,2,centro
52,360,1,28,1,,centro
53,300,1,22,1,4,centro
54,300,1,18,1,5,centro
55,550,2,60,1,4,centro
56,650,2,45,1,T,centro
57,1800,4,190,2,4,centro
58,850,3,80,1,2,centro
59,750,3,85,1,2,centro
60,650,2,60,,A,centro
61,580,2,45,1,1,centro
62,550,1,30,1,2,centro
63,350,3,90,1,R,centro
64,800,2,55,1,3,centro
65,550,2,60,1,2,centro
66,500,2,60,1,5,centro
67,500,1,40,1,A,centro
68,400,1,20,1,2,centro
69,750,3,75,2,4,centro
70,1100,3,120,2,2,centro
71,750,4,83,1,3,centro
72,600,1,40,1,2,centro
73,1100,2,85,1,,centro
74,1100,3,95,1,1,centro
75,960,4,90,2,A,centro
76,750,3,80,2,,centro
77,750,2,70,1,1,centro
78,850,2,75,1,3,centro
79,800,3,55,1,5,centro
80,700,2,45,1,3,centro
81,650,3,80,1,2,centro
82,280,1,20,1,5,centro
83,350,1,115,1,1,centro
84,720,4,110,1,A,centro
85,1200,4,90,1,2,centro
86,650,1,35,1,A,centro
87,560,3,55,1,5,centro
88,750,2,60,1,2,centro
89,1400,3,75,1,4,centro
90,300,1,15,1,1,centro
91,1400,5,145,3,A,centro
92,630,2,60,1,A,centro
93,700,2,55,1,R,centro
94,450,3,65,1,2,centro
95,630,3,66,1,6,centro
96,570,2,70,1,2,centro
97,1000,4,92,2,3,centro
98,650,3,55,1,3,centro
99,600,1,35,1,A,centro
100,1200,3,85,2,4,centro
101,1000,4,90,1,1,centro
102,890,4,90,1,1,centro
103,2400,4,196,2,1,centro
104,600,2,55,1,5,centro
105,2400,4,190,3,1,centro
106,350,1,25,1,3,centro
107,630,2,70,1,2,centro
108,500,2,50,1,2,centro
109,300,1,25,1,4,centro
110,300,1,30,1,A,centro
111,550,1,45,1,6,centro
112,900,2,65,1,,centro
113,1100,4,140,2,A,centro
114,2800,5+,220,2,4,centro
115,1500,5,141,2,2,centro
116,650,2,43,1,3,centro
117,750,3,70,2,3,centro
118,470,1,40,1,3,centro
119,470,3,55,1,2,centro
120,300,1,22,1,4,centro
121,390,2,35,1,2,centro
122,350,1,80,1,R,centro
123,550,1,40,1,4,centro
124,520,2,60,1,3,centro
125,750,2,70,1,2,centro
126,1350,2,70,1,1,centro
127,1100,3,90,1,A,centro
128,900,2,65,1,R,centro
129,1100,3,90,2,A,centro
130,1400,5,140,2,4,centro
131,1500,5,200,2,3,centro
132,800,2,50,1,R,centro
133,265,3,60,1,5,centro
134,750,3,55,1,A,centro
135,400,2,25,1,1,centro
136,1100,2,70,1,2,centro
137,1400,4,140,2,2,centro
138,320,1,25,1,4,centro
139,750,2,55,1,2,centro
140,390,2,30,1,A,centro
141,540,2,45,1,4,centro
142,750,3,88,1,1,centro
143,1100,4,90,1,4,centro
144,3000,5,200,2,2,centro
145,570,2,58,1,4,centro
146,600,1,55,1,3,centro
147,700,3,55,1,2,centro
148,350,1,28,,A,centro
149,800,2,70,1,2,centro
150,750,2,65,1,1,centro
151,860,3,60,1,1,centro
152,640,2,55,1,1,centro
153,600,2,80,1,A,centro
154,600,2,52,1,A,centro
155,550,2,45,1,3,centro
156,2500,5,150,2,2,centro
157,600,2,60,1,4,centro
158,1300,5,165,2,,centro
159,400,1,30,1,4,centro
160,700,3,70,1,5,centro
161,400,1,25,1,R,centro
162,900,2,65,1,2,centro
163,1100,3,95,2,A,centro
164,800,2,70,1,3,centro
165,1850,3,90,1,2,centro
166,890,3,80,1,1,centro
167,470,2,48,1,3,centro
168,1200,2,70,1,1,centro
169,650,2,55,1,4,centro
170,500,2,45,1,A,centro
171,900,2,60,1,1,centro
172,1000,2,70,1,1,centro
173,800,4,100,1,,centro
174,850,3,90,1,4,centro
175,700,3,65,1,4,centro
176,1500,2,70,1,3,centro
177,1500,2,70,1,3,centro
178,590,2,50,1,6,centro
179,595,1,40,1,4,centro
180,500,1,33,1,1,centro
181,850,3,80,,,centro
182,950,2,75,1,2,centro
183,1700,5,150,2,2,centro
184,300,1,18,1,,centro
185,365,2,30,1,1,centro
186,800,3,130,1,,centro
187,370,4,60,1,,centro
188,410,1,30,1,A,centro
189,400,2,70,1,1,centro
190,550,2,38,1,5,centro
191,250,1,25,1,4,centro
192,630,2,40,1,6,centro
193,900,2,62,1,1,centro
194,800,3,90,1,3,centro
195,2000,5,200,3,2,centro
196,1400,3,110,2,2,centro
197,525,2,60,1,5,centro
198,380,2,40,1,A,centro
199,650,2,60,1,1,centro
200,650,2,40,1,5,centro
201,750,3,65,1,3,centro
202,1000,3,85,1,1,centro
203,1500,3,70,1,3,centro
204,360,1,25,1,5,centro
205,1200,4,100,1,2,centro
206,1400,5,135,2,1,centro
207,630,2,46,1,A,centro
208,850,2,70,1,4,centro
209,750,2,62,1,1,centro
210,1400,4,145,3,A,centro
211,400,5,130,2,4,centro
212,650,2,30,,A,centro
213,1600,5,170,2,A,centro
214,480,1,35,1,A,centro
215,650,1,60,,,centro
216,950,4,90,1,2,centro
217,530,4,100,1,1,centro
218,700,4,85,1,A,centro
219,1200,2,100,1,1,centro
220,690,3,70,1,A,centro
221,700,3,75,1,3,centro
222,2900,5+,230,2,2,centro
223,450,2,45,1,1,centro
224,450,1,25,1,A,centro
225,470,1,30,1,2,centro
226,380,1,25,1,1,centro
227,1400,2,85,2,4,centro
228,600,2,45,1,1,centro
229,850,3,80,1,,centro
230,850,3,90,1,1,centro
231,550,1,45,1,2,centro
232,450,2,35,1,R,centro
233,9000,5+,310,3+,3,centro
234,900,4,95,1,3,centro
235,450,1,30,1,T,centro
236,580,2,50,1,3,centro
237,2900,5+,339,2,2,centro
238,460,2,40,1,T,centro
239,1100,3,100,1,A,centro
240,900,2,60,1,R,centro
241,1000,3,82,1,5,centro
242,950,2,75,1,A,centro
243,480,2,50,1,3,centro
244,2900,5+,339,3,4,centro
245,800,2,48,1,5,centro
246,800,2,44,1,5,centro
247,1300,2,67,1,1,centro
248,650,2,55,1,4,centro
249,750,4,100,2,5,centro
250,450,1,35,,,centro
251,1400,3,110,2,3,centro
252,670,2,45,1,1,centro
253,2700,5+,200,3,2,centro
254,2850,5+,300,3,,centro
255,1600,5+,220,2,5,centro
256,650,2,50,1,A,centro
257,500,2,50,1,2,centro
258,800,2,45,1,4,centro
259,800,3,50,1,4,centro
260,2700,5,200,3,3,centro
261,580,2,50,1,R,centro
262,2450,5,200,2,4,centro
263,800,3,70,1,,centro
264,400,,28,1,6,centro
265,700,3,80,1,T,centro
266,800,2,55,1,R,centro
267,1500,4,85,2,3,centro
268,1000,2,50,1,T,centro
269,1475,2,107,1,,centro
270,900,3,100,2,6,centro
271,1000,5,140,,,centro
272,1500,4,85,,,centro
273,800,2,65,,,centro
274,500,1,30,,,centro
275,850,2,60,,,centro
276,500,2,50,,,centro
277,550,2,50,1,2,centro
278,1200,4,120,1,R,centro
279,955,5,130,1,,centro
280,1800,4,200,2,5,centro
281,1500,2,70,1,3,centro
282,450,2,45,1,3,centro
283,1200,4,120,3,4,centro
284,900,5,100,2,3,centro
285,700,2,50,1,A,centro
286,1000,3,107,1,5,centro
287,3500,5,160,3,2,centro
288,1000,2,55,1,3,centro
289,1400,3,140,2,,centro
290,1600,5,150,2,A,centro
291,650,3,55,1,3,centro
292,850,3,70,,2,centro
293,600,2,46,1,A,centro
294,1450,5,135,3,3,centro
295,400,1,40,1,2,centro
296,980,4,135,2,6,centro
297,3000,5,200,2,,centro
298,350,1,25,1,5,centro
299,1200,3,101,2,5,centro
300,450,1,30,1,4,centro
301,345,1,18,1,T,centro
302,3500,2,120,1,2,centro
303,2800,5+,220,3,2,centro
304,600,2,76,1,5,centro
305,7000,5+,385,3+,4,centro
306,800,4,110,1,1,centro
307,340,1,26,1,,centro
308,580,3,50,1,2,centro
309,1300,2,79,1,2,centro
310,1700,5+,260,2,4,centro
311,470,2,65,1,A,centro
312,680,3,75,1,A,centro
313,560,3,95,1,,centro
314,360,1,30,1,3,centro
315,1350,2,60,1,T,centro
316,2850,5+,373,3,1,centro
317,1300,1,75,1,1,centro
318,850,3,100,1,3,centro
319,1600,5+,240,2,4,centro
320,1000,5,150,1,3,centro
321,900,2,67,1,2,centro
322,1000,2,108,2,4,centro
323,350,1,25,1,5,centro
324,750,1,49,1,3,centro
325,700,2,50,1,3,centro
326,1000,4,85,1,3,centro
327,800,2,45,,1,centro
328,500,1,27,1,A,centro
329,750,2,50,1,1,centro
330,700,2,45,1,3,centro
331,1300,5+,150,2,3,centro
332,1100,3,90,2,1,centro
333,1500,4,138,2,2,centro
334,450,2,45,1,2,centro
335,450,1,28,1,,centro
336,1500,4,90,,A,centro
337,750,2,80,1,2,centro
338,1100,3,133,1,1,centro
339,,2,60,1,2,centro
340,3500,5+,270,3+,2,centro
341,1000,3,70,1,1,centro
342,500,2,55,1,,centro
343,1100,4,110,2,,centro
344,1600,2,113,1,A,centro
345,780,2,70,1,A,centro
346,2200,4,160,2,A,centro
347,1000,3,85,2,T,centro
348,600,2,50,1,3,centro
349,970,2,70,1,A,centro
350,650,2,45,1,1,centro
351,850,2,56,1,1,centro
352,500,1,35,1,4,centro
353,1100,2,60,1,1,centro
354,850,4,100,1,1,centro
355,1200,2,50,1,4,centro
356,4800,5,187,3,3,centro
357,800,2,55,1,3,centro
358,1250,2,80,1,3,centro
359,950,5,90,2,T,centro
360,890,3,90,1,1,centro
361,850,2,50,1,3,centro
362,500,1,40,,4,centro
363,320,1,25,1,3,centro
364,1400,4,140,2,A,centro
365,750,3,80,1,,centro
