,Price,Rooms,Surface,Bathrooms,Floor,Zona
0,1250,2,75,2,5,centro
1,3350,4,190,3,4,centro
2,1335,2,50,1,4,centro
3,5000,5,211,3,2,centro
4,1500,2,70,1,1,centro
5,1300,1,45,1,1,centro
6,2250,2,80,1,1,centro
7,2250,3,90,2,5,centro
8,1600,2,70,1,T,centro
9,3300,3,120,2,2,centro
10,2160,2,60,1,2,centro
11,1660,2,45,1,5,centro
12,2116,3,72,2,3,centro
13,7417,5+,250,3,2,centro
14,2583,3,100,,A,centro
15,1500,1,35,1,2,centro
16,1150,2,55,1,2,centro
17,2584,3,95,2,6,centro
18,2250,3,90,2,5,centro
19,1800,3,100,2,1,centro
20,2500,2,69,1,2,centro
21,2100,2,45,1,,centro
22,2700,2,61,1,3,centro
23,850,1,25,1,,centro
24,2900,5,240,3,1,centro
25,2000,2,65,1,3,centro
26,5830,4,185,2,5,centro
27,1300,1,45,1,1,centro
28,3000,3,80,1,A,centro
29,1500,3,65,1,1,centro
30,2000,2,50,2,2,centro
31,2085,2,100,1,T,centro
32,2580,3,129,2,6,centro
33,2250,3,110,2,5,centro
34,2250,3,90,2,5,centro
35,2584,4,109,2,6,centro
36,2250,4,90,2,5,centro
37,2583,3,109,2,6,centro
38,1700,2,80,1,3,centro
39,4000,5,158,2,2,centro
40,1200,1,30,1,R,centro
41,3000,4,100,2,A,centro
42,2166,3,110,2,,centro
43,2250,2,100,2,1,centro
44,2416,3,130,2,4,centro
45,3335,4,135,2,2,centro
46,3150,4,150,2,3,centro
47,4333,4,150,3,,centro
48,1600,2,70,1,3,centro
49,2200,3,80,1,1,centro
50,2000,2,55,1,1,centro
51,4166,5,170,2,3,centro
52,2500,3,125,1,2,centro
53,3500,4,160,3,2,centro
54,2900,3,155,2,2,centro
55,2000,2,65,1,3,centro
56,2166,3,95,2,A,centro
57,2250,3,90,2,5,centro
58,3000,5,150,2,1,centro
59,2300,2,75,1,1,centro
60,1350,2,50,1,4,centro
61,6250,5,220,3+,2,centro
62,5000,5+,211,3,2,centro
63,7416,5,160,3,A,centro
64,2700,3,75,1,2,centro
65,2500,3,97,2,1,centro
66,2583,3,95,2,A,centro
67,2250,3,90,2,5,centro
68,3000,4,120,2,5,centro
69,1700,2,38,1,1,centro
70,1400,2,65,1,R,centro
71,2166,2,65,1,2,centro
72,3500,4,150,2,,centro
73,1100,2,65,1,1,centro
74,2000,2,68,1,1,centro
75,3000,3,100,1,6,centro
76,1690,2,50,1,2,centro
77,2600,2,60,1,3,centro
78,5000,4,200,3,3,centro
79,3000,3,95,1,6,centro
80,3000,3,100,2,2,centro
81,2300,3,90,1,,centro
82,980,1,40,1,2,centro
83,1950,2,85,1,6,centro
84,1850,3,125,2,4,centro
85,2500,3,140,1,3,centro
86,1500,1,40,1,5,centro
87,3000,3,95,1,A,centro
88,2400,3,100,2,A,centro
89,1500,1,50,1,4,centro
90,2083,3,100,1,7,centro
91,1400,2,82,2,1,centro
92,3000,3,95,1,A,centro
93,1100,2,40,1,7,centro
94,3000,3,95,1,A,centro
95,2250,3,100,2,,centro
96,1200,1,30,1,R,centro
97,3000,3,125,1,6,centro
98,3000,3,100,1,6,centro
99,2000,4,120,2,1,centro
100,5000,3,160,2,3,centro
101,1440,2,70,1,1,centro
102,2000,3,95,1,1,centro
103,1400,2,55,,A,centro
104,1740,2,58,1,1,centro
105,5000,4,200,3,3,centro
106,3600,5,160,3+,A,centro
107,1350,2,50,1,2,centro
108,6200,5+,260,3+,3,centro
109,4000,4,160,2,2,centro
110,2500,3,120,2,1,centro
111,1550,2,45,1,5,centro
112,3580,5,170,2,2,centro
113,1950,3,98,2,1,centro
114,3000,3,100,2,A,centro
115,2150,3,120,2,,centro
116,2600,3,75,1,1,centro
117,3000,5+,190,3+,7,centro
118,2500,3,115,2,5,centro
119,2700,4,120,2,2,centro
120,1500,,60,,1,centro
121,3800,2,100,1,R,centro
122,1600,2,70,1,1,centro
123,800,1,35,1,1,centro
124,2000,2,68,1,1,centro
125,1850,2,75,1,2,centro
126,1750,2,55,1,6,centro
127,5350,4,185,3,2,centro
128,4500,5+,255,3,3,centro
129,2250,2,126,1,,centro
130,3160,3,140,2,A,centro
131,1700,2,55,1,1,centro
132,1600,2,70,1,1,centro
133,1600,2,50,1,A,centro
134,2450,3,140,2,2,centro
135,2300,3,80,1,1,centro
136,1600,1,45,1,A,centro
137,2500,5,180,3,4,centro
138,3500,2,130,2,8,centro
139,1700,2,50,1,3,centro
140,1500,2,55,1,1,centro
141,1450,2,60,1,,centro
142,3800,2,150,2,1,centro
143,2000,2,67,2,1,centro
144,1800,2,60,1,1,centro
145,2750,3,125,1,A,centro
146,5000,5,211,3,2,centro
147,3167,3,140,2,T,centro
148,1400,1,45,1,5,centro
149,,4,356,3,4,centro
150,1200,2,50,1,2,centro
151,1200,2,50,1,2,centro
152,1200,2,50,1,2,centro
153,1650,3,80,1,3,centro
154,4000,3,130,3,A,centro
155,1800,2,70,1,,centro
156,5833,4,160,2,T,centro
157,2000,2,70,2,1,centro
158,3585,5,175,2,2,centro
159,1666,2,50,1,A,centro
160,1900,3,75,2,A,centro
161,9000,5+,300,3+,A,centro
162,4500,3,140,2,6,centro
163,1000,1,45,1,1,centro
164,2650,4,130,2,3,centro
165,1320,2,45,1,2,centro
166,2500,3,120,2,6,centro
167,1500,2,50,1,A,centro
168,1917,2,50,1,2,centro
169,3000,3,95,1,A,centro
170,1600,2,45,1,4,centro
171,5835,5+,250,3+,T,centro
172,4000,4,150,3+,1,centro
173,1800,3,110,2,7,centro
174,1500,2,55,1,5,centro
175,3000,4,130,2,,centro
176,1918,2,45,1,2,centro
177,7083,5,205,3+,3,centro
178,2000,2,65,2,,centro
179,3500,4,160,3,2,centro
180,4000,5,220,3,2,centro
181,2333,3,125,1,A,centro
182,3167,3,140,2,5,centro
183,2170,3,130,2,T,centro
184,1250,2,65,2,5,centro
185,1085,2,50,1,5,centro
186,1920,2,42,1,2,centro
187,2300,2,75,1,4,centro
188,2200,3,120,2,,centro
189,1100,2,60,1,1,centro
190,1800,2,65,1,3,centro
191,2300,3,130,2,1,centro
192,3100,4,150,2,2,centro
193,2300,3,90,1,1,centro
194,30000,4,145,2,A,centro
195,6600,4,300,3,4,centro
196,3580,4,165,2,A,centro
197,2750,4,124,2,,centro
198,3000,3,95,2,3,centro
199,2750,4,124,2,2,centro
200,3000,2,70,1,A,centro
201,2750,2,125,,3,centro
202,5000,3,140,2,6,centro
203,2000,3,76,2,1,centro
204,1900,3,75,1,4,centro
205,3200,4,110,2,2,centro
206,1666,3,80,1,3,centro
207,3000,4,140,3,A,centro
208,2500,3,75,1,7,centro
209,3166,3,140,2,5,centro
210,1740,2,58,1,,centro
211,2300,3,150,2,3,centro
212,1500,2,65,1,2,centro
213,3000,3,95,1,6,centro
214,1150,1,50,1,1,centro
215,2167,3,72,2,3,centro
216,1125,2,45,1,2,centro
217,2200,3,80,2,4,centro
218,7083,5+,200,3,3,centro
219,2167,3,75,2,3,centro
220,2000,2,70,2,1,centro
221,1900,3,90,1,2,centro
222,3300,4,172,2,5,centro
223,1800,3,100,2,1,centro
224,3166,3,140,2,5,centro
225,1050,2,41,1,2,centro
226,2200,3,90,1,1,centro
227,2000,3,85,2,2,centro
228,2000,3,70,2,1,centro
229,2000,3,85,2,3,centro
230,1500,1,50,1,A,centro
231,2167,3,71,2,3,centro
232,5000,5+,250,2,T,centro
233,2500,3,116,2,5,centro
234,1500,1,40,1,5,centro
235,4000,4,180,3,3,centro
236,2900,4,140,3,1,centro
237,2166,3,75,2,3,centro
238,5960,5+,244,3+,4,centro
239,10000,4,240,3,3,centro
240,2000,2,65,1,A,centro
241,4100,4,200,2,,centro
242,2100,3,120,2,,centro
243,4000,5+,120,3,4,centro
244,1700,3,75,1,1,centro
245,2200,3,130,2,T,centro
246,2170,3,70,2,3,centro
247,950,2,45,1,4,centro
248,3000,3,110,2,1,centro
249,6000,4,200,3,1,centro
250,2916,2,68,1,5,centro
251,3000,2,55,1,2,centro
252,1000,2,45,1,4,centro
253,2100,2,47,1,2,centro
254,1580,1,45,1,1,centro
255,1000,1,25,1,7,centro
256,2150,3,95,2,2,centro
257,5000,3,150,2,3,centro
258,1700,2,80,1,2,centro
259,2000,2,65,2,1,centro
260,2800,2,84,1,1,centro
261,3070,3,120,2,5,centro
262,2250,2,95,1,A,centro
263,1600,2,50,1,1,centro
264,2000,2,66,2,1,centro
265,2900,4,140,3,1,centro
266,9000,5+,300,3+,A,centro
267,3000,3,110,2,2,centro
268,3000,5,140,2,3,centro
269,6670,5+,310,3+,1,centro
270,3150,3,110,2,3,centro
271,2500,2,35,1,4,centro
272,4500,4,170,3,4,centro
273,1916,2,42,1,1,centro
274,1350,2,55,1,4,centro
275,1350,2,55,1,4,centro
276,1600,2,55,1,1,centro
277,2250,2,97,1,A,centro
278,3800,3,171,2,6,centro
279,1000,1,25,2,7,centro
280,1300,1,50,1,1,centro
281,2500,3,116,2,5,centro
282,1900,3,130,2,1,centro
283,4500,4,140,2,4,centro
284,1600,2,60,1,2,centro
285,1500,2,65,1,2,centro
286,1650,1,50,1,5,centro
287,6666,5+,190,3+,4,centro
288,1400,1,45,1,5,centro
289,6663,5+,265,3,,centro
290,1600,2,65,1,1,centro
291,,5+,270,3,2,centro
292,2200,3,120,2,3,centro
293,1800,2,105,1,4,centro
294,2500,3,116,2,5,centro
295,,5+,300,3+,3,centro
296,4300,2,100,2,1,centro
297,6667,5+,250,3,2,centro
298,6667,5+,250,3,2,centro
299,4000,3,150,3,3,centro
300,2500,3,98,2,5,centro
301,4500,3,130,,4,centro
302,2500,3,115,2,5,centro
303,11000,5+,260,3+,A,centro
304,,5+,280,2,2,centro
305,,5,230,3,A,centro
306,950,2,40,1,T,centro
307,2500,3,85,2,1,centro
308,3166,3,140,2,5,centro
309,2500,3,116,2,5,centro
310,2580,3,96,2,6,centro
311,2500,3,116,2,5,centro
312,2250,2,97,1,A,centro
313,2500,3,120,2,5,centro
314,1200,1,45,1,3,centro
315,2500,3,115,2,5,centro
316,2500,3,115,2,5,centro
317,1550,2,75,1,3,centro
318,2500,3,113,2,5,centro
319,2500,3,116,,,centro
320,2500,2,100,1,6,centro
321,,3,120,3,2,centro
322,5000,4,200,3,3,centro
323,2000,2,70,2,1,centro
324,,3,110,2,2,centro
325,3500,5,165,3,A,centro
326,1100,1,28,1,2,centro
327,,5+,387,3,A,centro
328,950,2,30,1,2,centro
329,10833,5+,374,3+,1,centro
330,3333,3,135,2,4,centro
331,,2,110,2,4,centro
332,1700,2,75,2,2,centro
333,2330,3,100,2,5,centro
334,6666,5+,305,3+,1,centro
335,7000,5+,230,3,3,centro
336,1300,2,55,1,T,centro
337,1300,2,55,1,T,centro
338,8333,5+,320,3+,2,centro
339,6700,5+,280,3,6,centro
340,1300,2,50,1,A,centro
341,3166,3,140,2,5,centro
342,4000,5+,230,3,1,centro
343,1300,2,52,1,2,centro
344,2200,3,130,2,T,centro
345,,2,80,1,3,centro
346,1650,1,50,1,5,centro
347,3300,3,132,3,2,centro
348,1200,2,50,1,1,centro
349,1500,2,60,1,3,centro
350,5000,4,250,3,A,centro
351,8333,5+,340,3+,2,centro
352,3350,3,90,2,2,centro
353,5000,4,140,2,4,centro
354,2000,2,70,2,1,centro
355,3100,4,142,3,2,centro
356,3167,3,140,2,A,centro
357,2400,3,90,1,2,centro
358,4500,4,100,2,A,centro
359,1850,1,30,1,5,centro
360,3250,4,110,2,2,centro
361,1000,1,25,1,,centro
362,1650,2,80,1,4,centro
363,2917,3,140,2,4,centro
364,1380,2,62,1,3,centro
365,1650,2,80,1,2,centro
366,4583,4,160,2,1,centro
367,,5+,320,3,3,centro
368,5833,4,290,3,R,centro
369,3300,4,172,2,5,centro
370,1500,1,40,1,2,centro
371,3167,3,140,2,A,centro
372,3750,4,140,2,2,centro
373,3852,3,100,2,7,centro
374,1250,3,70,1,6,centro
375,1916,,42,,1,centro
376,2500,2,60,1,3,centro
377,2000,3,70,2,1,centro
378,4580,4,170,3,A,centro
379,2450,2,70,1,6,centro
380,6666,5+,305,3+,R,centro
381,1541,2,60,1,,centro
382,2583,3,122,2,,centro
383,2834,4,112,3,,centro
384,3750,4,200,2,,centro
385,980,2,45,1,3,centro
386,1916,2,42,1,1,centro
387,1400,1,45,1,2,centro
388,1600,1,40,1,2,centro
389,9900,5+,374,3+,1,centro
390,3167,4,136,2,A,centro
391,6650,5+,310,3+,1,centro
392,3750,4,150,2,3,centro
393,1850,3,90,1,3,centro
394,,4,169,3+,,centro
395,1900,2,70,1,2,centro
396,2500,2,65,1,2,centro
397,3165,3,140,2,5,centro
398,6650,5+,305,3+,1,centro
399,1500,2,64,1,4,centro
400,5000,5+,211,3,2,centro
401,5000,5+,211,3,2,centro
402,2000,3,78,2,1,centro
403,2350,3,100,2,A,centro
404,2000,3,80,2,1,centro
405,3067,3,120,2,,centro
406,1850,3,90,1,4,centro
407,1350,2,50,1,,centro
408,2550,2,84,1,3,centro
409,4500,4,144,3,4,centro
410,1950,1,40,1,1,centro
411,4834,4,250,2,4,centro
412,2600,2,80,1,3,centro
413,3100,3,130,2,A,centro
414,2850,3,138,2,A,centro
415,3150,4,150,2,2,centro
416,1200,2,50,1,4,centro
417,3500,3,170,2,R,centro
418,1500,1,30,1,3,centro
419,1000,1,40,1,4,centro
420,3200,4,110,2,2,centro
421,1050,1,45,1,1,centro
422,2750,2,125,1,3,centro
423,2000,3,110,1,A,centro
424,2500,2,60,2,A,centro
425,6700,5+,320,3,3,centro
426,2800,4,130,2,A,centro
427,3000,3,120,2,6,centro
428,4500,3,140,2,4,centro
429,3166,5+,145,3,5,centro
430,2666,3,110,2,A,centro
431,1917,2,42,1,1,centro
432,2167,2,59,1,1,centro
433,6667,5+,305,3+,1,centro
434,7500,5,220,3,,centro
435,3750,3,150,2,A,centro
436,5400,5+,210,3,A,centro
437,5000,4,200,3+,2,centro
438,5000,4,180,3,2,centro
439,1050,2,50,1,R,centro
440,5000,3,140,2,2,centro
441,1500,2,70,1,T,centro
442,1850,2,75,1,4,centro
443,6000,5+,259,3,2,centro
444,4200,2,70,1,2,centro
445,,3,85,1,2,centro
446,3150,4,150,2,2,centro
447,5000,5+,211,3,2,centro
448,1500,1,62,1,1,centro
449,3150,4,180,2,2,centro
450,3200,3,120,2,2,centro
451,3950,3,135,2,A,centro
452,2750,3,141,2,2,centro
453,,3,125,1,3,centro
454,,5,208,2,7,centro
455,2750,3,125,1,A,centro
456,3750,3,150,2,A,centro
457,5000,5+,211,3,2,centro
458,2916,4,153,2,3,centro
459,5000,4,180,3,2,centro
460,3850,5,180,2,3,centro
461,5400,3,180,3,2,centro
462,600,1,25,1,4,centro
463,2333,3,125,1,A,centro
464,2750,2,125,1,3,centro
465,6250,5+,266,3+,3,centro
466,1500,2,65,1,2,centro
467,1500,2,50,1,2,centro
468,2500,3,115,1,5,centro
469,2900,4,120,2,3,centro
470,3580,3,150,2,4,centro
471,3750,3,150,2,,centro
472,,5+,400,3,A,centro
473,6250,5+,266,3+,3,centro
474,5275,4,215,3,A,centro
475,2750,2,125,1,3,centro
476,4500,5,180,3,2,centro
477,4583,4,235,3,A,centro
478,2750,4,125,1,A,centro
479,1916,2,42,1,1,centro
480,6000,5+,190,3+,A,centro
481,7333,5,260,3,A,centro
482,7915,5,300,3+,2,centro
483,3750,3,150,2,3,centro
484,3000,4,185,2,5,centro
485,5000,5+,211,3,2,centro
486,1300,2,60,1,1,centro
487,1200,2,67,1,1,centro
488,2900,2,95,1,R,centro
489,2200,2,76,1,3,centro
490,2000,2,55,1,1,centro
491,,3,130,2,4,centro
492,5250,3,210,3,A,centro
493,10000,5+,385,3+,A,centro
494,2500,3,100,2,2,centro
495,6250,5+,266,3+,3,centro
496,5416,5+,220,3,9,centro
497,5800,5+,270,3+,3,centro
498,5000,5+,215,3,2,centro
499,3167,4,145,2,5,centro
500,1700,2,85,1,2,centro
501,1800,2,80,1,3,centro
502,6250,5+,266,3+,,centro
503,2000,2,69,1,4,centro
504,7083,5+,180,3,,centro
505,2250,3,110,2,1,centro
506,1800,1,35,1,,centro
507,2250,3,125,2,2,centro
508,3166,5+,145,3,5,centro
509,5170,5+,255,3,2,centro
510,5700,5,160,2,,centro
511,2750,3,125,1,5,centro
512,6800,4,200,2,,centro
513,2330,3,100,2,5,centro
514,1867,2,80,1,5,centro
515,3166,4,130,2,A,centro
516,5000,5,220,3,2,centro
517,3167,3,140,2,A,centro
518,4775,5+,190,1,3,centro
519,7000,5+,300,3,4,centro
520,1400,2,50,1,2,centro
521,5000,5+,211,3,2,centro
522,3166,3,140,2,A,centro
523,3067,3,133,2,A,centro
524,3067,3,111,2,5,centro
525,3167,3,140,2,A,centro
526,1500,2,55,1,2,centro
527,3000,3,150,2,3,centro
528,3100,3,140,2,A,centro
529,3170,3,140,2,5,centro
530,6250,5,250,3+,T,centro
531,3000,3,120,2,A,centro
532,6750,5+,300,2,3,centro
533,3926,5+,235,,2,centro
534,5000,2,150,2,T,centro
535,3500,3,100,1,2,centro
536,,1,30,1,1,centro
537,2750,4,120,2,2,centro
538,2709,3,115,2,3,centro
539,1150,1,45,1,T,centro
540,5000,5+,211,3,2,centro
541,2400,3,100,2,4,centro
542,2000,1,28,1,3,centro
543,10000,4,150,2,4,centro
544,3000,4,170,3,5,centro
545,4166,3,96,2,6,centro
546,2500,4,130,3,A,centro
547,2708,3,115,2,3,centro
548,6250,5+,270,,,centro
549,5000,5+,211,3,2,centro
550,2500,3,100,2,1,centro
551,1867,2,115,1,,centro
552,2000,3,85,2,,centro
553,8500,5+,326,3+,6,centro
554,2000,2,70,1,1,centro
555,4350,4,135,1,4,centro
556,7083,4,42,2,3,centro
557,3100,3,120,2,A,centro
558,4100,3,95,2,6,centro
559,1090,1,35,1,,centro
560,1600,2,70,1,1,centro
561,5000,5+,211,3,2,centro
562,3400,3,140,2,5,centro
563,4166,4,98,3,6,centro
564,2700,4,135,2,5,centro
565,2300,3,110,1,2,centro
566,3167,3,136,2,A,centro
567,5000,5+,211,3,2,centro
568,3600,1,60,2,2,centro
569,2500,3,115,1,6,centro
570,5800,5+,300,3,2,centro
571,1200,1,50,1,1,centro
572,1350,2,50,1,A,centro
573,3500,2,80,1,R,centro
574,36000,5+,850,3+,4,centro
575,3300,4,150,2,3,centro
576,8330,5+,340,3+,3,centro
577,6000,5,180,3+,5,centro
578,5000,5+,211,3,2,centro
579,3000,4,135,2,3,centro
580,2000,2,70,1,3,centro
581,3000,4,130,2,1,centro
582,1500,1,30,1,2,centro
583,4165,3,165,2,A,centro
584,6500,5+,260,3+,A,centro
585,6750,5+,284,3+,4,centro
586,5250,5,200,3,3,centro
587,3100,4,150,3,2,centro
588,6250,5+,250,3,A,centro
589,2980,3,100,2,3,centro
590,2125,3,110,1,T,centro
591,1850,2,45,1,4,centro
592,,5+,700,3+,1,centro
593,2000,3,76,2,1,centro
594,1850,2,43,1,2,centro
595,7750,5+,380,3+,2,centro
596,3000,3,125,2,5,centro
597,3200,3,120,,,centro
598,11600,5+,340,2,1,centro
599,5416,5,190,2,1,centro
600,1867,2,118,1,5,centro
601,1900,2,118,1,5,centro
602,5000,5+,211,3,2,centro
603,2700,3,125,2,3,centro
604,4000,3,130,2,2,centro
605,5000,5+,211,3,2,centro
606,2450,3,140,2,2,centro
607,3500,5+,155,3,,centro
608,,4,150,2,A,centro
609,2584,3,140,3,1,centro
610,4000,4,240,3,1,centro
611,1900,2,85,2,2,centro
612,1600,2,69,1,1,centro
613,4500,3,170,3,4,centro
614,8500,5+,350,3+,A,centro
615,2500,3,115,2,A,centro
616,5850,4,185,2,5,centro
617,10830,5+,410,3+,A,centro
618,4000,5,240,3,A,centro
619,4000,3,210,3,3,centro
620,3550,4,175,3,1,centro
621,3000,4,180,3,3,centro
622,2167,3,112,1,A,centro
0,5666,5,220,3+,2,arco-della-pace
1,1375,2,55,1,T,arco-della-pace
2,1500,2,60,2,1,arco-della-pace
3,3750,5+,300,3,2,arco-della-pace
4,2000,4,131,2,1,arco-della-pace
5,1375,1,50,1,T,arco-della-pace
6,1375,2,50,1,T,arco-della-pace
7,1375,2,50,1,T,arco-della-pace
8,1800,2,67,1,4,arco-della-pace
9,1900,3,110,2,1,arco-della-pace
10,3333,3,120,2,A,arco-della-pace
11,2200,5,90,2,3,arco-della-pace
12,3333,3,120,2,5,arco-della-pace
13,2900,3,120,2,1,arco-della-pace
14,1350,2,58,1,1,arco-della-pace
15,2000,3,120,2,5,arco-della-pace
16,1795,2,85,1,7,arco-della-pace
17,1300,3,75,1,3,arco-della-pace
18,2800,3,135,2,2,arco-della-pace
19,2000,3,125,2,5,arco-della-pace
20,2900,4,166,2,3,arco-della-pace
21,2900,4,150,2,3,arco-della-pace
22,1667,2,70,1,2,arco-della-pace
23,42000,4,170,2,,arco-della-pace
24,2300,3,90,1,5,arco-della-pace
0,1300,1,35,1,3,arena
1,1500,2,80,1,3,arena
2,850,1,20,1,,arena
3,1250,2,68,1,1,arena
4,850,1,30,1,3,arena
5,700,2,42,1,3,arena
6,3000,3,100,2,A,arena
7,3000,3,100,2,3,arena
8,4583,5+,250,2,,arena
9,1500,2,55,1,A,arena
10,1700,3,120,2,4,arena
11,2900,3,120,2,1,arena
12,650,1,30,1,2,arena
13,1300,3,75,1,3,arena
14,950,1,30,1,A,arena
15,1400,2,40,1,3,arena
16,3000,3,110,2,3,arena
17,1600,2,75,2,A,arena
18,1100,2,45,1,3,arena
19,2100,3,90,1,2,arena
0,2500,3,110,2,1,pagano
1,2100,4,120,2,5,pagano
2,780,1,28,1,R,pagano
3,5833,4,250,3+,2,pagano
4,2500,3,120,2,1,pagano
5,6250,5+,250,3+,3,pagano
6,2420,2,90,1,A,pagano
7,2500,3,100,2,1,pagano
8,1900,3,90,1,2,pagano
9,640,1,28,1,4,pagano
10,6250,5+,260,3+,3,pagano
11,3200,5,145,2,3,pagano
12,950,1,43,1,3,pagano
13,2416,2,85,1,4,pagano
14,1288,2,50,1,4,pagano
15,870,2,45,1,5,pagano
16,2500,3,120,2,1,pagano
17,5835,5+,250,3+,2,pagano
18,1300,2,55,1,2,pagano
19,2500,2,100,2,1,pagano
