,Price,Rooms,Surface,Bathrooms,Floor,Zona
0,1600,4,124,2,1,posillipo
1,430,2,40,1,3,posillipo
2,,5+,220,3,5,posillipo
3,1650,5,160,2,5,posillipo
4,950,5,150,2,5,posillipo
5,550,1,28,1,S,posillipo
6,500,1,30,1,T,posillipo
7,1100,2,60,1,1,posillipo
8,1000,3,50,1,3,posillipo
9,1100,2,60,1,1,posillipo
10,800,1,40,1,R,posillipo
11,700,2,50,,1,posillipo
12,1600,2,70,2,T,posillipo
13,680,2,65,1,1,posillipo
14,400,1,25,1,,posillipo
15,600,2,40,1,S,posillipo
16,1900,4,130,3,2,posillipo
17,1800,4,110,2,2,posillipo
18,3200,5+,330,3,R,posillipo
19,3000,5+,224,2,1,posillipo
20,1600,4,100,2,1,posillipo
21,2300,5,150,3,6,posillipo
22,2100,5,150,3,6,posillipo
23,1500,2,55,1,,posillipo
24,1500,2,55,1,,posillipo
25,2000,3,150,2,2,posillipo
26,2100,3,105,3,T,posillipo
27,850,3,70,1,R,posillipo
28,2250,5+,170,2,3,posillipo
29,1500,3,115,2,A,posillipo
30,1500,3,104,2,1,posillipo
31,400,1,40,1,,posillipo
32,950,2,60,1,,posillipo
33,2100,5,120,2,4,posillipo
34,3200,5+,200,3+,2,posillipo
35,2000,3,110,2,3,posillipo
36,1700,5,154,2,4,posillipo
37,670,2,55,1,T,posillipo
38,750,1,45,1,R,posillipo
39,800,3,90,1,5,posillipo
40,2900,5,150,2,2,posillipo
41,1200,4,90,2,3,posillipo
42,650,3,70,1,T,posillipo
43,1600,3,90,2,T,posillipo
44,1500,4,120,2,,posillipo
45,1250,2,70,1,1,posillipo
46,1200,3,100,2,R,posillipo
47,1200,2,40,1,1,posillipo
48,350,1,25,1,,posillipo
49,600,2,60,,R,posillipo
50,750,3,70,1,4,posillipo
51,2700,5+,170,3,4,posillipo
52,,4,150,2,T,posillipo
53,600,1,40,1,3,posillipo
54,850,2,50,1,2,posillipo
55,3000,5+,280,3+,T,posillipo
56,1100,3,70,2,T,posillipo
57,700,2,50,1,,posillipo
58,1500,2,60,1,1,posillipo
59,1500,2,60,1,2,posillipo
60,,3,95,2,3,posillipo
61,1900,4,155,2,2,posillipo
62,1400,3,95,2,3,posillipo
63,1500,4,90,2,5,posillipo
64,500,1,50,1,2,posillipo
65,1000,1,54,1,T,posillipo
66,900,3,80,1,1,posillipo
67,530,1,30,1,,posillipo
68,700,1,30,2,,posillipo
69,2100,4,140,2,5,posillipo
70,500,1,35,1,2,posillipo
71,750,2,60,1,R,posillipo
72,450,1,40,1,T,posillipo
73,1250,2,70,1,1,posillipo
74,800,2,45,1,3,posillipo
75,1250,2,60,1,1,posillipo
76,1200,4,85,2,,posillipo
77,450,2,40,1,T,posillipo
78,550,1,40,1,T,posillipo
79,750,2,60,1,T,posillipo
80,1400,2,90,1,2,posillipo
81,1600,5+,165,2,1,posillipo
82,1400,5,130,2,A,posillipo
83,650,2,40,1,T,posillipo
84,800,2,45,1,R,posillipo
85,1350,4,105,3,,posillipo
86,1100,4,90,2,4,posillipo
87,2800,5+,245,3,2,posillipo
88,1000,2,65,1,R,posillipo
89,650,3,95,1,T,posillipo
90,980,2,65,1,2,posillipo
91,1000,3,90,2,T,posillipo
92,1400,3,100,2,1,posillipo
93,2000,5,152,3,2,posillipo
94,700,2,40,1,T,posillipo
95,500,3,45,1,2,posillipo
96,4000,5+,220,3+,3,posillipo
97,1000,2,55,1,,posillipo
98,1200,3,85,2,3,posillipo
99,2700,5+,225,3,1,posillipo
100,1200,3,80,2,,posillipo
101,1450,5+,150,2,2,posillipo
102,2200,3,110,2,1,posillipo
103,3200,5+,230,3,1,posillipo
104,3500,5,240,3,3,posillipo
105,1000,3,70,1,1,posillipo
106,1300,2,90,1,1,posillipo
107,3000,5,350,2,,posillipo
108,2500,5,205,3,2,posillipo
109,2000,5+,220,3,1,posillipo
110,550,1,40,1,,posillipo
111,400,1,20,1,T,posillipo
112,1500,3,120,2,1,posillipo
113,800,2,55,1,1,posillipo
114,750,2,47,1,T,posillipo
115,3000,5+,400,3,1,posillipo
116,3000,5,250,3+,4,posillipo
117,800,3,90,1,4,posillipo
118,1600,4,150,2,2,posillipo
119,1100,4,100,2,A,posillipo
120,750,2,40,1,T,posillipo
121,3500,5+,280,3,5,posillipo
122,1000,2,82,1,T,posillipo
123,1100 al mese,2,70,1,2,posillipo
124,800,3,80,1,2,posillipo
0,800,3,60,2,T,marechiaro
1,1600,2,70,2,T,marechiaro
2,2998,5+,417,3+,,marechiaro
3,1500,2,50,1,2,marechiaro
4,700,2,40,1,T,marechiaro
5,5000,5+,615,3+,,marechiaro
6,700,2,40,1,A,marechiaro
7,2999,5+,395,3,,marechiaro
8,3000,5,400,3,1,marechiaro
9,3000,5+,400,3,1,marechiaro
0,700,2,50,1,R,centro
1,600,2,40,1,2,centro
2,680,2,70,1,2,centro
3,500,2,40,1,2,centro
4,700,3,63,1,3,centro
5,1000,2,83,1,2,centro
6,430,2,40,1,1,centro
7,570,3,60,1,1,centro
8,650,2,60,1,9,centro
9,1200,2,50,1,3,centro
10,700,2,40,2,2,centro
11,520,2,60,1,4,centro
12,1000,2,80,1,2,centro
13,700,2,75,1,4,centro
14,1100,2,50,1,4,centro
15,800,3,70,2,1,centro
16,350,2,28,1,T,centro
17,590,2,67,1,2,centro
18,750,3,62,1,8,centro
19,1000,4,120,1,6,centro
20,550,2,50,1,4,centro
21,700,2,60,1,2,centro
22,550,2,50,1,1,centro
23,600,1,40,1,1,centro
24,590,2,60,1,2,centro
25,1800,5,140,3+,3,centro
26,890,3,75,1,1,centro
27,700,3,80,1,1,centro
28,900,3,100,1,4,centro
29,1500,3,125,2,1,centro
30,600,2,35,1,T,centro
31,500,4,90,1,3,centro
32,900,5,140,2,,centro
33,500,2,40,1,4,centro
34,470,2,45,1,6,centro
35,1100,5,140,2,4,centro
36,750,2,70,2,1,centro
37,1700,4,130,2,1,centro
38,550,2,50,1,4,centro
39,2200,3,100,1,1,centro
40,400,2,40,1,T,centro
41,1700,3,120,2,1,centro
42,1200,2,60,1,4,centro
43,1000,2,60,1,2,centro
44,350,2,40,1,3,centro
45,500,1,35,1,1,centro
46,870,4,88,1,7,centro
47,900,3,50,1,1,centro
48,1700,4,150,3,1,centro
49,380,1,45,,,centro
50,500,2,30,,,centro
51,1200,5,150,2,R,centro
52,700,3,80,,,centro
53,390,1,30,1,4,centro
54,3500,5+,380,,,centro
55,700,3,75,2,1,centro
56,650,3,70,1,T,centro
57,700,1,23,1,2,centro
58,600,2,50,1,2,centro
59,600,2,45,1,4,centro
60,1300,4,135,1,4,centro
61,500,2,43,1,1,centro
62,850,3,70,1,1,centro
63,800,2,70,1,1,centro
64,1300,2,65,1,3,centro
65,900,3,113,1,2,centro
66,250,1,13,1,T,centro
67,500,2,40,1,3,centro
68,900,3,80,2,2,centro
69,1700,3,144,2,3,centro
70,750,3,109,1,1,centro
71,650,2,55,1,3,centro
72,550,2,50,1,1,centro
73,1100,2,60,1,,centro
74,380,1,30,1,4,centro
75,1700,4,121,3,A,centro
76,830,2,50,1,3,centro
77,600,1,38,,3,centro
78,650,2,50,1,2,centro
79,550,3,45,1,2,centro
80,1000,4,100,3+,2,centro
81,500,2,80,2,4,centro
82,850,2,60,1,3,centro
83,470,2,60,1,3,centro
84,550,1,25,1,3,centro
85,800,4,90,2,5,centro
86,2600,5+,280,3+,4,centro
87,1800,5,100,1,,centro
88,700,2,50,1,5,centro
89,350,1,30,1,4,centro
90,1400,4,130,1,5,centro
91,500,1,30,1,3,centro
92,750,3,50,1,3,centro
93,2000,5,145,2,2,centro
94,800,4,80,1,1,centro
95,1000,4,130,1,6,centro
96,1000,4,130,2,1,centro
97,1150,3,90,1,2,centro
98,830,2,50,1,T,centro
