;contract;district;renting_type;surface;locals;floor;property_type;price;spese condominio;other_expences;building_year;status;heating;air_conditioning;energy_certificate;parking_slots;heating_expences;heating_system;announce_link
0;Affitto, Libero;centro;Intera proprietà, classe immobile media;61;2;5°;Intera proprietà;480;90;;2006.0;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/84237648/
1;Affitto;centro;Intera proprietà, classe immobile media;50;1;2°;Intera proprietà;500;50;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/84221326/
2;Affitto, Transitorio;centro;Intera proprietà, classe immobile media;65;2;1°;Classe immobile media;400;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/84228534/
3;Affitto, 4+4;centro;Intera proprietà, classe immobile media;117;2;1°;Intera proprietà;1500;;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/84214102/
4;Affitto, Concordato;centro;Intera proprietà, classe immobile media;30;1;1°;Intera proprietà;350;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/84227778/
5;Affitto, Concordato;centro;Intera proprietà, classe immobile media;25;1;Piano;Intera proprietà;300;;;;buono/abitabile;;None;;;;autonomo;https://www.immobiliare.it/annunci/84228174/
6;Affitto;centro;Intera proprietà, classe immobile media;58;1;1°;Intera proprietà;575;50;;;ottimo/ristrutturato;;None;;;;autonomo;https://www.immobiliare.it/annunci/84204548/
7;Affitto, 3+2;centro;Intera proprietà, classe immobile media;55;2;Piano;Intera proprietà;480;;;2005.0;ottimo/ristrutturato;;predisposizione impianto;;;;autonomo;https://www.immobiliare.it/annunci/84207564/
8;Affitto;centro;Intera proprietà, classe immobile media;103;4;3°;Intera proprietà;690;125;;1996.0;;;None;;;;autonomo;https://www.immobiliare.it/annunci/84194120/
9;Affitto, 4+4;centro;Intera proprietà, classe immobile media;41;2;4°;Intera proprietà;450;80;;2000.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/84162352/
10;Affitto, 3+2;centro;Intera proprietà, classe immobile media;76;3;8°;Intera proprietà;480;83;;;;;None;;;;centralizzato;https://www.immobiliare.it/annunci/84162350/
11;Affitto, 3+2;centro;Intera proprietà, classe immobile media;45;2;Piano;Intera proprietà;450;80;;1980.0;buono/abitabile;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/84162346/
12;Affitto, Concordato;centro;Intera proprietà, classe immobile media;35;1;2°;Classe immobile signorile;400;;;2013.0;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/84155878/
13;Affitto, 3+2;centro;Intera proprietà, classe immobile media;115;4;1°;Intera proprietà;540;60;;;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/84098664/
14;Affitto;centro;Intera proprietà, classe immobile media;110;3;2°;;850;55;;;ottimo/ristrutturato;;autonomo;;;;autonomo;https://www.immobiliare.it/annunci/84094264/
